HYIP Name,Valid Address,Same Address,Registered with Companies House,Lifetime In Days,Censored
bitero.io,1,0,1,116,0
libre.trade,1,0,1,89,0
britishfxfunds.com,0,0,1,177,0
qualityinvest.net,1,0,0,107,0
myhourlyforex.com,1,0,1,218,0
definitelyfinance.com,1,0,1,99,0
anterius.net,1,0,1,178,0
bithit.ltd,0,0,1,299,0
houratm.com,1,0,1,179,0
zion-finance.com,1,0,1,279,0
exbonds.com,1,0,1,154,0
lightassetsltd.com,1,0,0,87,0
gissis.com,1,0,1,748,1
81-bigcoins.com,1,0,1,481,1
traveldream.io,1,0,1,318,0
investhit.com,0,0,1,517,1
neptune-mining.net,0,0,1,234,0
cashstrim.com,1,1,1,9,0
usdproof.com,0,0,1,798,1
omptrading.capital,1,0,1,541,1
bitles.eu,1,0,1,293,0
bit-world.limited,1,0,1,382,0
bit-robot.io,1,0,1,42,0
webtokenprofit.com,1,0,1,191,0
bsfinance.biz,0,0,1,543,1
thefuturetrade.com,1,0,1,372,0
comextrades.com,1,0,1,375,1
loantech.top,0,0,1,840,1
liveasics.com,1,0,1,552,1
elquirex.net,0,0,1,644,1
digibot.biz,1,1,1,49,1
visionwallet.com,1,0,1,93,0
hightwolf.com,1,0,1,256,1
clarksontraders.com,1,0,1,293,1
yacht-company.com,1,0,1,439,1
bitnetworkers.com,1,0,1,298,0
hourinterest.com,0,0,1,582,1
prowhale.global,1,0,1,252,0
medtech.biz,1,1,1,300,0
usdgains.biz,1,0,1,33,0
crustabot.com,1,0,1,20,0
hourinv.net,0,0,1,149,0
hourxo.biz,0,0,1,183,0
bitxeon.io,1,0,1,186,1
profitday.biz,1,1,1,235,1
angelicage.com,1,1,1,316,0
citybuildprofit.com,1,0,0,28,0
botminions.io,1,1,1,39,0
robofex.com,1,0,1,25,0
invest-chain.network,1,0,1,135,0
m7finance.com,1,0,1,2,0
traders-point.world,1,0,0,7,0
persono.biz,1,0,1,38,0
china-foryou.com,1,0,1,13,0
bit-atm.net,1,0,1,371,0
btcmagiclimited.com,0,0,1,46,0
marxcapital.org,0,0,1,262,0
mightyfarm.ltd,0,0,1,52,0
deeptradebot.com,1,0,1,213,0
dividendmarket.biz,1,0,1,193,0
alphacrypto.biz,0,0,1,340,0
cloudbtc.io,1,0,1,22,0
chipinvestment.com,1,0,1,147,0
betahours.com,0,0,0,21,0
block-bank.io,1,0,1,6,0
4fxbot.com,1,0,1,24,0
curvestcapital.com,1,0,1,0,0
coronainvest.io,0,0,0,37,0
rongus-capital.com,0,0,1,26,0
razorbits.net,0,0,1,15,0
seven-core.io,1,0,1,10,0
trexai.org,1,0,1,41,0
bitliner.biz,1,0,1,16,0
ziktrade.com,1,0,1,0,0
nitro-x.io,1,0,1,23,0
coinizie.com,0,0,1,39,0
profitday.vip,1,1,1,80,0
alliancebenefit.limited,1,0,1,17,0
