Telegram,Facebook,Twitter,Instagram,Youtube,Social Media Platforms,Goldcoders license check,Payment Processors,Contact Number,Lifetime In Days,Censored,HYIP Name,Perfect Money,Payeer,Bitcoin,Ethereum,Litecoin,UK-Address
1,1,0,0,0,2,0,1,0,116,0,bitero.io,0,0,1,0,0,1
0,0,0,0,0,0,1,12,0,177,0,britishfxfunds.com,1,1,1,0,1,1
1,1,1,0,0,3,1,8,0,107,0,qualityinvest.net,1,1,1,1,1,1
1,0,0,0,1,2,1,5,0,218,0,myhourlyforex.com,1,1,1,1,1,1
1,0,1,1,0,3,1,8,1,99,0,definitelyfinance.com,1,1,1,1,1,1
0,1,1,0,1,3,1,6,0,178,0,anterius.net,1,1,1,1,1,1
1,0,0,0,0,1,1,8,1,299,0,bithit.ltd,1,1,1,1,1,1
0,0,0,0,0,0,1,5,0,179,0,houratm.com,1,1,0,1,1,1
1,1,0,1,1,4,1,5,1,279,0,zion-finance.com,0,0,1,1,1,1
1,1,1,1,1,5,1,8,0,154,0,exbonds.com,1,1,1,1,1,1
1,1,0,0,0,2,1,3,0,87,0,lightassetsltd.com,1,1,1,0,0,1
1,1,1,1,1,5,0,4,1,748,1,gissis.com,1,1,1,1,0,1
1,1,1,0,0,3,0,4,1,437,0,arbill.co,1,0,1,1,0,0
0,0,0,0,0,0,1,6,0,481,1,81-bigcoins.com,1,1,1,1,1,1
1,1,1,1,0,4,1,4,1,318,0,traveldream.io,1,1,1,1,0,1
0,0,0,0,0,0,1,5,1,517,1,investhit.com,1,1,1,1,1,1
0,0,0,0,0,0,1,7,0,234,0,neptune-mining.net,1,1,1,0,1,1
0,0,0,0,0,0,1,10,0,798,1,usdproof.com,1,1,1,1,1,1
1,1,1,0,1,4,1,5,1,541,1,omptrading.capital,1,1,1,0,1,1
1,1,1,0,1,4,0,11,0,293,0,bitles.eu,0,0,1,1,1,1
1,0,1,0,0,2,1,8,0,382,0,bit-world.limited,1,0,1,1,1,1
1,1,1,1,1,5,0,11,1,42,0,bit-robot.io,1,1,1,1,1,1
1,1,1,1,1,5,0,6,0,191,0,webtokenprofit.com,1,1,1,1,1,1
1,1,1,0,0,3,1,7,1,543,1,bsfinance.biz,1,1,1,1,1,1
1,1,0,1,1,4,0,8,1,372,0,thefuturetrade.com,1,1,1,1,1,1
1,1,1,0,1,4,1,6,1,375,1,comextrades.com,1,0,1,0,1,1
1,0,0,0,0,1,0,3,0,840,1,loantech.top,1,1,1,0,0,1
0,0,0,0,0,0,0,5,0,552,1,liveasics.com,1,1,1,0,0,1
1,1,1,0,0,3,0,12,0,644,1,elquirex.net,1,1,1,1,1,1
1,0,0,0,0,1,0,4,0,93,0,visionwallet.com,1,1,1,1,1,1
1,1,1,1,1,5,0,10,1,256,1,hightwolf.com,1,1,1,1,1,1
1,1,0,0,0,2,1,7,0,293,1,clarksontraders.com,1,1,1,1,1,1
0,0,0,0,0,0,0,5,1,439,1,yacht-company.com,1,1,1,1,0,1
1,1,0,0,0,2,1,8,0,298,0,bitnetworkers.com,1,1,1,1,1,1
0,0,0,0,0,0,0,6,0,582,1,hourinterest.com,1,1,1,1,1,1
1,0,0,0,0,1,1,5,0,252,0,prowhale.global,1,1,1,1,1,1
0,1,1,0,0,2,1,8,1,300,0,medtech.biz,1,0,1,1,1,1
